frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,1400,446,1
3,1400,446,1
4,1400,446,1
5,1400,445,1
6,1399,445,1
7,1399,445,1
8,1399,445,1
9,1399,446,1
10,1398,446,1
11,1398,446,1
12,1398,446,1
13,1398,446,1
14,1398,446,1
15,1397,447,1
16,1397,447,1
17,1397,447,1
18,1397,447,1
19,1396,447,1
20,1396,447,1
21,1396,447,1
22,1395,447,1
23,1395,447,1
24,1394,447,1
25,1394,447,1
26,1393,447,1
27,1393,448,1
28,1329,494,1
29,1281,518,1
30,1251,518,1
31,1236,508,1
32,1278,488,1
33,1313,473,1
34,1341,461,1
35,1362,452,1
36,1376,446,1
37,1385,442,1
38,1390,440,1
39,1391,440,1
40,1390,441,1
41,1388,443,1
42,1385,445,1
43,1381,447,1
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,1385,579,1
53,1370,574,1
54,1304,599,1
55,1323,593,1
56,1268,613,1
57,-1,-1,0
58,-1,-1,0
59,1311,591,1
60,1350,573,1
61,1394,561,1
62,1428,552,1
63,1452,546,1
64,1468,542,1
65,1478,540,1
66,1484,538,1
67,1492,536,1
68,1485,483,1
69,1499,495,1
70,1511,508,1
71,1483,525,1
72,1466,538,1
73,1455,548,1
74,1554,532,1
75,1539,530,1
76,1526,529,1
77,1512,509,1
78,1504,495,1
79,1504,485,1
80,1474,469,1
81,1452,458,1
82,1436,453,1
83,1426,451,1
84,1420,452,1
85,1416,454,1
86,1415,457,1
87,1302,524,1
88,1217,576,1
89,1336,610,1
90,1434,633,1
91,1510,646,1
92,1565,653,1
93,1610,660,1
94,1639,662,1
95,1656,661,1
96,1665,659,1
97,1667,654,1
98,1665,650,1
99,1476,649,1
100,1328,648,1
101,1218,647,1
102,1142,645,1
103,1243,546,1
104,1330,469,1
105,1439,510,1
106,1524,545,1
107,1588,575,1
108,1633,599,1
109,1663,615,1
110,1681,627,1
111,1652,536,1
112,1627,464,1
113,1605,410,1
114,1588,372,1
115,1574,347,1
116,1538,399,1
117,1512,444,1
118,1520,412,1
119,1529,388,1
120,1796,385,1
121,2001,385,1
122,1894,370,1
123,1801,359,1
124,1568,458,1
125,1386,535,1
126,1253,592,1
127,1161,632,1
128,1306,658,1
129,1430,673,1
130,1325,680,1
131,1244,682,1
132,1187,680,1
133,1147,675,1
134,1267,655,1
135,1365,637,1
136,1297,639,1
137,1242,640,1
138,1200,641,1
139,1170,642,1
140,1300,584,1
141,1253,598,1
142,1215,610,1
143,1186,621,1
144,1165,629,1
145,1150,635,1
146,1142,640,1
147,1276,635,1
148,1381,630,1
149,1475,633,1
150,1543,635,1
151,1432,639,1
152,1340,641,1
153,1491,636,1
154,1609,632,1
155,1635,629,1
156,1649,627,1
157,1487,632,1
158,1358,636,1
159,1416,638,1
160,1308,641,1
161,1227,642,1
162,1338,642,1
163,1428,641,1
164,1465,581,1
165,1491,535,1
166,1375,563,1
167,1282,586,1
168,1389,594,1
169,1475,599,1
170,1364,616,1
171,1277,629,1
172,1210,638,1
173,1480,600,1
174,1692,571,1
175,1851,548,1
176,1963,532,1
177,2037,521,1
178,2081,515,1
179,2102,512,1
180,2108,510,1
181,2103,511,1
182,2092,512,1
183,2078,514,1
184,2063,516,1
185,2049,518,1
186,2036,520,1
187,2025,521,1
188,2017,522,1
189,2010,523,1
190,2005,524,1
191,2002,524,1
192,2000,525,1
193,1999,525,1
194,1998,525,1
195,1998,525,1
196,1999,525,1
197,1999,525,1
198,2000,525,1
199,2000,525,1
200,2001,525,1
